Anos,LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3,Re_real,Re_spread
30,TRUE,FALSE,FALSE,FALSE,429.53,906.88,338.85,520.22,701.6,882.97,1055.68,566.19
10,TRUE,FALSE,FALSE,FALSE,465.15,705.02,394.65,535.65,676.66,817.66,1098.83,610.32
20,TRUE,FALSE,FALSE,FALSE,293.82,760.83,217.73,369.9,522.06,674.23,885.35,396.32
10PRM30,TRUE,FALSE,FALSE,FALSE,224.89,886.96,136.2,313.59,490.98,668.37,798.34,309.85
10PRM30,TRUE,FALSE,FALSE,FALSE,236.01,882.59,147.75,324.27,500.79,677.31,811.01,323.38
10PRM30,TRUE,FALSE,FALSE,FALSE,219.97,882.69,131.71,308.24,484.78,661.32,793.48,304
10,TRUE,FALSE,FALSE,FALSE,470.29,705.32,399.76,540.82,681.89,822.95,1104.85,616.62
10,TRUE,FALSE,FALSE,FALSE,468.74,703.02,398.44,539.05,679.65,820.26,1103.71,614.95
10PRM30,TRUE,FALSE,FALSE,FALSE,223.27,884.92,134.78,311.77,488.75,665.74,798.02,308.32
10,TRUE,FALSE,FALSE,FALSE,465.29,703.16,394.97,535.61,676.24,816.87,1099.39,610.53
10PRM30,TRUE,FALSE,FALSE,FALSE,229.23,877.42,141.49,316.97,492.45,667.94,803.89,315.11
10PRM30,TRUE,FALSE,FALSE,FALSE,232.31,882.7,144.04,320.58,497.12,673.65,807.51,319.01
10PRM30,TRUE,FALSE,FALSE,FALSE,224.82,884.69,136.35,313.29,490.23,667.16,800.82,310.31
10,TRUE,FALSE,FALSE,FALSE,466.78,704.76,396.31,537.26,678.21,819.16,1102.99,612.79
10PRM30,TRUE,FALSE,FALSE,FALSE,218.86,886.64,130.2,307.53,484.85,662.18,793.7,302.76
10,TRUE,FALSE,FALSE,FALSE,474.42,701.79,404.24,544.6,684.96,825.32,1112.49,622.39
30,TRUE,FALSE,FALSE,FALSE,440.95,901.84,350.76,531.13,711.5,891.86,1068.92,580.24
