LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3
TRUE,TRUE,FALSE,FALSE,465.54,702.03,395.34,535.74,676.15,816.56
FALSE,TRUE,TRUE,TRUE,283.22,707.65,283.22,283.22,637.05,990.87
TRUE,FALSE,TRUE,TRUE,212.19,886.69,212.19,212.19,655.54,1098.88
FALSE,TRUE,TRUE,FALSE,290.19,700.61,290.19,290.19,640.5,990.81
FALSE,FALSE,FALSE,TRUE,40.76,887.32,-47.97,129.49,306.96,484.42
FALSE,TRUE,FALSE,FALSE,291.14,700.24,221.12,361.16,501.21,641.26
FALSE,TRUE,TRUE,FALSE,293.59,700.32,293.59,293.59,643.76,993.92
FALSE,FALSE,TRUE,TRUE,37.87,880.38,37.87,37.87,478.07,918.26
FALSE,FALSE,FALSE,FALSE,45.91,883.48,-42.43,134.26,310.96,487.65
FALSE,TRUE,TRUE,FALSE,291.4,699.91,291.4,291.4,641.35,991.3
TRUE,FALSE,FALSE,TRUE,222.05,886.2,133.43,310.67,487.91,665.15
FALSE,FALSE,FALSE,FALSE,57.84,880.8,-30.24,145.92,322.08,498.24
FALSE,TRUE,TRUE,FALSE,286.97,704.32,286.97,286.97,639.13,991.29
FALSE,TRUE,TRUE,FALSE,293.04,699.45,293.04,293.04,642.76,992.49
TRUE,TRUE,FALSE,FALSE,464.43,704.38,393.99,534.87,675.74,816.62
TRUE,FALSE,FALSE,TRUE,221.38,888.78,132.5,310.26,488.01,665.77
FALSE,TRUE,TRUE,FALSE,291.13,701.26,291.13,291.13,641.76,992.39
TRUE,FALSE,TRUE,TRUE,222.68,881.59,222.68,222.68,663.48,1104.27
FALSE,FALSE,TRUE,TRUE,42.33,889.33,42.33,42.33,486.99,931.65
FALSE,FALSE,TRUE,TRUE,45.7,879.82,45.7,45.7,485.61,925.52
FALSE,FALSE,FALSE,TRUE,48.58,880.13,-39.44,136.59,312.62,488.64
FALSE,TRUE,TRUE,TRUE,280.56,705.12,280.56,280.56,633.12,985.68
TRUE,FALSE,FALSE,FALSE,236.74,883.28,148.41,325.07,501.72,678.38
TRUE,TRUE,TRUE,FALSE,462.56,703.83,462.56,462.56,814.48,1166.4
FALSE,TRUE,TRUE,FALSE,292.63,700,292.63,292.63,642.63,992.63
TRUE,TRUE,FALSE,TRUE,452.27,702.99,381.97,522.57,663.17,803.77
TRUE,TRUE,TRUE,FALSE,462.68,700.81,462.68,462.68,813.09,1163.49
TRUE,TRUE,FALSE,FALSE,468.75,706.81,398.07,539.43,680.79,822.15
TRUE,TRUE,FALSE,FALSE,471.97,704.05,401.57,542.38,683.19,824
TRUE,TRUE,TRUE,TRUE,455.06,709.64,455.06,455.06,809.88,1164.7
FALSE,FALSE,FALSE,FALSE,49.07,883.78,-39.31,137.45,314.2,490.96
TRUE,TRUE,FALSE,FALSE,470.15,703.43,399.81,540.49,681.18,821.87
FALSE,TRUE,FALSE,FALSE,285.89,705.78,215.32,356.47,497.63,638.78
FALSE,TRUE,TRUE,TRUE,276.31,703.06,276.31,276.31,627.84,979.37
FALSE,TRUE,FALSE,TRUE,285.15,703.76,214.77,355.52,496.28,637.03
FALSE,FALSE,FALSE,TRUE,36.92,890.14,-52.09,125.94,303.97,481.99
FALSE,TRUE,FALSE,TRUE,286.1,705.81,215.52,356.68,497.84,639
FALSE,FALSE,TRUE,FALSE,50.5,885.22,50.5,50.5,493.11,935.71
FALSE,FALSE,FALSE,TRUE,54.83,889.59,-34.13,143.79,321.71,499.63
FALSE,FALSE,FALSE,TRUE,42.78,886.28,-45.85,131.41,308.67,485.92
TRUE,FALSE,TRUE,FALSE,226.12,886.48,226.12,226.12,669.36,1112.61
FALSE,TRUE,TRUE,TRUE,288.09,701.48,288.09,288.09,638.83,989.57
FALSE,TRUE,TRUE,TRUE,279.39,705.03,279.39,279.39,631.91,984.43
FALSE,FALSE,FALSE,FALSE,50.58,878.31,-37.25,138.41,314.08,489.74
TRUE,FALSE,TRUE,TRUE,200.62,885.85,200.62,200.62,643.54,1086.47
FALSE,FALSE,FALSE,TRUE,40.84,882.37,-47.39,129.08,305.55,482.03
